student_id,class_level,gender,treatment,attendance_rate,study_hours,post,time,test_score
69,P6,Girl,1,86.9,7.4,0,baseline,78.7
70,P6,Girl,0,84.8,3.7,0,baseline,64.8
71,P6,Girl,0,74.7,5.0,0,baseline,69.6
72,P6,Boy,0,84.6,7.0,0,baseline,69.0
73,P5,Girl,0,78.5,3.6,0,baseline,74.6
74,P6,Boy,1,88.3,7.4,0,baseline,66.0
75,P5,Boy,1,86.8,5.5,0,baseline,69.0
76,P6,Girl,1,80.3,5.3,0,baseline,72.2
77,P6,Boy,0,82.4,7.4,0,baseline,80.2
78,P6,Boy,0,79.7,6.9,0,baseline,71.1
79,P5,Boy,0,84.7,5.3,0,baseline,68.4
80,P6,Girl,0,89.8,8.3,0,baseline,84.0
81,P5,Girl,1,80.1,3.8,0,baseline,61.8
82,P6,Boy,1,87.5,7.2,0,baseline,62.3
83,P5,Girl,1,82.3,7.2,0,baseline,74.4
84,P6,Girl,0,81.0,5.4,0,baseline,68.0
85,P5,Girl,1,84.5,6.7,0,baseline,67.2
86,P5,Girl,1,79.8,3.5,0,baseline,72.3
87,P6,Boy,1,82.2,7.8,0,baseline,73.9
88,P5,Boy,1,79.0,5.6,0,baseline,67.5
89,P6,Girl,0,94.8,5.0,0,baseline,66.6
90,P6,Girl,0,85.2,8.1,0,baseline,77.9
91,P6,Boy,0,81.5,4.6,0,baseline,73.2
92,P6,Boy,1,86.1,3.2,0,baseline,69.3
93,P6,Girl,0,84.4,2.9,0,baseline,78.4
94,P6,Boy,0,83.9,7.2,0,baseline,67.2
95,P6,Girl,0,88.1,3.4,0,baseline,62.7
96,P6,Girl,0,88.8,9.5,0,baseline,71.9
97,P6,Boy,1,82.3,1.8,0,baseline,67.7
98,P6,Boy,1,82.1,9.4,0,baseline,75.2
99,P6,Girl,0,83.6,6.4,0,baseline,70.6
100,P5,Girl,0,73.5,5.8,0,baseline,71.1
101,P5,Boy,0,77.4,4.9,0,baseline,63.1
102,P6,Girl,0,91.8,6.8,0,baseline,81.0
103,P6,Boy,0,93.2,5.9,0,baseline,72.9
104,P6,Girl,0,83.8,8.2,0,baseline,78.9
105,P6,Boy,0,87.9,6.2,0,baseline,74.3
106,P6,Boy,1,86.6,6.3,0,baseline,74.6
107,P6,Boy,1,100.4,5.3,0,baseline,77.2
108,P6,Girl,0,90.6,5.9,0,baseline,75.1
109,P6,Girl,0,84.4,6.6,0,baseline,75.4
110,P5,Boy,1,80.2,2.6,0,baseline,74.8
111,P6,Girl,1,77.0,3.3,0,baseline,69.0
112,P5,Boy,1,86.0,7.5,0,baseline,76.7
113,P6,Boy,1,81.2,6.3,0,baseline,70.8
114,P6,Girl,0,77.9,5.6,0,baseline,77.3
115,P5,Girl,0,81.8,6.0,0,baseline,67.8
116,P6,Boy,1,79.6,6.7,0,baseline,80.3
117,P5,Girl,0,93.4,4.9,0,baseline,72.4
118,P6,Girl,1,89.4,4.4,0,baseline,64.2
119,P6,Boy,1,85.0,6.4,0,baseline,72.8
120,P5,Boy,1,92.4,4.0,0,baseline,68.3
121,P6,Girl,0,85.4,6.8,0,baseline,76.7
122,P5,Boy,1,80.7,2.6,0,baseline,65.0
123,P6,Boy,0,92.6,8.1,0,baseline,72.8
124,P5,Girl,1,87.7,6.9,0,baseline,63.6
125,P5,Boy,1,79.8,6.5,0,baseline,68.9
126,P6,Boy,0,84.0,8.0,0,baseline,61.1
127,P6,Girl,1,80.6,9.3,0,baseline,65.6
128,P5,Girl,1,78.1,8.0,0,baseline,75.8
129,P6,Boy,0,89.6,2.3,0,baseline,73.7
130,P6,Boy,0,94.5,3.4,0,baseline,73.7
131,P6,Girl,0,78.0,4.8,0,baseline,64.6
132,P5,Girl,0,87.8,6.1,0,baseline,72.2
133,P5,Girl,0,81.7,7.0,0,baseline,71.9
134,P5,Girl,1,82.6,4.5,0,baseline,64.3
135,P5,Boy,0,82.0,6.4,0,baseline,79.0
136,P5,Girl,0,80.7,4.5,0,baseline,74.1
137,P5,Girl,1,85.2,4.8,0,baseline,69.8
138,P5,Boy,0,80.8,3.2,0,baseline,68.9
139,P5,Girl,1,86.4,4.2,0,baseline,71.7
140,P5,Boy,0,84.7,3.3,0,baseline,59.4
141,P6,Girl,0,83.8,4.0,0,baseline,68.7
142,P5,Girl,1,80.5,8.1,0,baseline,69.2
143,P6,Girl,1,82.1,4.1,0,baseline,64.7
144,P6,Boy,1,88.8,11.3,0,baseline,75.4
145,P6,Boy,1,87.5,7.0,0,baseline,82.1
146,P5,Girl,1,80.1,6.4,0,baseline,74.3
147,P5,Boy,0,85.5,4.3,0,baseline,67.7
148,P5,Boy,0,88.8,7.4,0,baseline,76.5
149,P5,Boy,1,76.7,4.8,0,baseline,76.2
150,P6,Boy,1,87.7,6.2,0,baseline,77.1
151,P5,Boy,1,81.7,11.1,0,baseline,75.5
152,P5,Boy,0,87.9,5.8,0,baseline,69.0
153,P5,Girl,0,81.2,8.3,0,baseline,76.4
154,P5,Girl,1,76.0,4.6,0,baseline,70.8
155,P5,Boy,0,76.9,5.9,0,baseline,74.6
156,P6,Girl,1,85.2,9.5,0,baseline,77.8
157,P5,Girl,1,86.3,4.7,0,baseline,76.3
158,P6,Girl,0,80.5,9.6,0,baseline,71.1
159,P5,Girl,1,88.2,7.4,0,baseline,80.1
160,P6,Boy,1,76.7,4.9,0,baseline,70.2
161,P5,Girl,0,84.7,7.3,0,baseline,83.2
162,P5,Girl,1,78.9,7.9,0,baseline,68.7
163,P6,Boy,1,81.7,7.2,0,baseline,80.8
164,P6,Boy,1,85.2,2.9,0,baseline,70.3
165,P6,Girl,0,80.7,4.5,0,baseline,66.5
166,P5,Girl,1,83.1,5.5,0,baseline,68.6
167,P6,Girl,0,90.0,5.9,0,baseline,71.1
168,P5,Girl,0,82.1,7.2,0,baseline,74.3
169,P5,Girl,1,89.2,6.4,0,baseline,75.6
170,P6,Girl,0,79.4,3.3,0,baseline,65.7
171,P6,Boy,0,87.6,6.8,0,baseline,72.8
172,P5,Girl,1,92.2,7.2,0,baseline,84.9
173,P5,Girl,1,72.6,7.1,0,baseline,78.8
174,P6,Boy,1,81.0,8.2,0,baseline,74.9
175,P6,Boy,1,87.9,7.7,0,baseline,73.9
176,P6,Boy,0,84.0,6.9,0,baseline,72.9
177,P5,Boy,0,86.9,5.9,0,baseline,75.2
178,P5,Girl,0,82.0,2.7,0,baseline,63.4
179,P5,Girl,1,85.4,6.9,0,baseline,71.3
180,P5,Girl,1,84.2,6.4,0,baseline,63.6
181,P5,Girl,1,90.8,6.5,0,baseline,75.4
182,P5,Girl,1,86.3,3.4,0,baseline,73.2
183,P6,Girl,0,86.7,3.8,0,baseline,68.0
184,P5,Boy,0,82.9,8.1,0,baseline,80.9
185,P5,Girl,0,82.6,5.9,0,baseline,65.1
186,P5,Boy,1,82.8,7.4,0,baseline,65.2
187,P6,Boy,0,87.0,6.1,0,baseline,73.4
188,P5,Girl,1,82.9,6.1,0,baseline,76.7
189,P5,Boy,0,86.4,7.9,0,baseline,82.0
190,P6,Girl,0,95.4,5.0,0,baseline,70.8
191,P5,Boy,0,89.4,6.2,0,baseline,78.2
192,P5,Girl,1,83.4,5.1,0,baseline,70.6
193,P5,Boy,1,91.0,5.1,0,baseline,71.4
194,P5,Girl,0,83.0,5.4,0,baseline,75.3
195,P5,Girl,0,74.8,6.4,0,baseline,73.3
196,P6,Girl,1,80.0,5.0,0,baseline,62.1
197,P6,Girl,0,75.6,8.5,0,baseline,79.3
198,P6,Girl,1,83.2,4.2,0,baseline,76.9
199,P5,Boy,1,85.1,5.6,0,baseline,68.4
200,P5,Boy,0,93.4,5.1,0,baseline,74.7
201,P5,Boy,0,86.6,8.9,0,baseline,76.9
202,P6,Girl,1,83.9,6.4,0,baseline,73.2
203,P5,Boy,0,89.1,8.1,0,baseline,71.5
204,P5,Girl,0,73.9,3.0,0,baseline,63.8
205,P6,Girl,1,86.2,6.5,0,baseline,72.3
206,P5,Boy,1,88.9,7.8,0,baseline,79.9
207,P6,Boy,1,77.6,6.2,0,baseline,73.2
208,P6,Girl,1,90.7,8.1,0,baseline,72.8
209,P6,Boy,0,86.7,5.0,0,baseline,75.2
210,P5,Girl,0,82.9,8.8,0,baseline,59.4
211,P5,Girl,1,88.2,10.6,0,baseline,81.9
212,P5,Girl,1,96.4,5.3,0,baseline,64.8
213,P5,Girl,0,85.9,5.1,0,baseline,69.4
214,P5,Girl,1,86.2,8.9,0,baseline,68.8
215,P5,Boy,0,82.7,9.2,0,baseline,67.4
216,P5,Boy,0,80.8,5.0,0,baseline,76.0
217,P6,Girl,0,89.2,5.2,0,baseline,69.7
218,P5,Girl,0,80.7,5.4,0,baseline,72.2
219,P6,Boy,0,85.4,3.3,0,baseline,69.5
220,P5,Boy,0,82.6,4.2,0,baseline,72.3
221,P5,Girl,0,87.4,4.0,0,baseline,71.1
222,P5,Boy,1,86.7,4.5,0,baseline,64.5
223,P6,Girl,1,90.2,5.9,0,baseline,77.7
224,P6,Boy,1,82.4,6.5,0,baseline,69.2
225,P6,Girl,1,83.7,9.1,0,baseline,66.2
226,P6,Boy,0,80.1,4.0,0,baseline,67.1
227,P5,Girl,0,82.8,8.0,0,baseline,80.5
228,P6,Boy,1,86.9,5.6,0,baseline,76.1
229,P5,Boy,0,88.8,5.9,0,baseline,70.7
230,P5,Girl,1,80.4,7.3,0,baseline,70.2
231,P6,Boy,0,89.3,3.8,0,baseline,69.3
232,P6,Girl,1,91.8,6.8,0,baseline,84.2
233,P6,Boy,0,87.1,6.3,0,baseline,74.4
234,P6,Girl,1,94.4,7.0,0,baseline,76.6
235,P6,Boy,1,81.1,6.6,0,baseline,76.7
236,P6,Girl,1,78.8,10.9,0,baseline,75.7
237,P6,Boy,0,76.1,4.7,0,baseline,67.7
238,P6,Girl,1,92.5,4.9,0,baseline,71.4
239,P5,Boy,1,88.3,4.8,0,baseline,71.1
240,P6,Girl,1,84.7,4.9,0,baseline,70.7
1,P5,Girl,1,92.3,6.6,1,endline,84.5
2,P6,Boy,1,89.8,3.7,1,endline,88.1
3,P5,Girl,1,95.8,10.9,1,endline,98.9
4,P5,Boy,0,81.2,6.3,1,endline,72.1
5,P5,Boy,0,89.4,6.2,1,endline,73.0
6,P6,Girl,1,85.9,7.5,1,endline,78.5
7,P5,Boy,0,95.9,7.0,1,endline,79.7
8,P5,Boy,1,81.0,6.4,1,endline,86.9
9,P5,Boy,1,80.8,4.4,1,endline,85.7
10,P6,Boy,1,82.0,6.9,1,endline,63.8
11,P5,Girl,0,74.4,9.8,1,endline,92.8
12,P5,Boy,0,82.4,8.7,1,endline,85.9
13,P5,Girl,1,81.2,9.2,1,endline,86.0
14,P5,Boy,0,85.8,5.0,1,endline,69.1
15,P6,Boy,0,86.7,4.0,1,endline,78.4
16,P5,Boy,1,94.4,5.7,1,endline,81.9
17,P6,Boy,1,89.8,6.1,1,endline,84.6
18,P6,Girl,1,82.1,8.2,1,endline,101.7
19,P6,Girl,1,80.5,2.6,1,endline,77.5
20,P5,Boy,0,87.5,9.1,1,endline,75.7
21,P6,Boy,1,78.4,5.7,1,endline,77.8
22,P5,Girl,1,94.2,5.1,1,endline,82.2
23,P6,Boy,0,90.9,4.0,1,endline,75.8
24,P6,Boy,1,82.7,2.7,1,endline,90.1
25,P6,Boy,1,76.4,7.6,1,endline,89.4
26,P6,Girl,1,91.8,6.1,1,endline,85.1
27,P6,Girl,1,84.4,3.4,1,endline,81.3
28,P6,Girl,1,91.2,3.4,1,endline,92.1
29,P6,Boy,0,77.0,5.3,1,endline,90.7
30,P6,Boy,0,82.0,9.3,1,endline,79.9
31,P5,Girl,1,85.0,5.5,1,endline,82.5
32,P5,Girl,1,85.2,3.0,1,endline,81.1
33,P6,Girl,1,82.7,5.5,1,endline,91.9
34,P6,Girl,1,88.1,5.5,1,endline,87.7
35,P6,Boy,1,79.7,0.6,1,endline,81.6
36,P5,Girl,1,84.3,5.9,1,endline,77.8
37,P6,Boy,1,85.6,5.5,1,endline,85.2
38,P5,Girl,1,87.6,7.4,1,endline,91.3
39,P5,Boy,1,88.6,9.7,1,endline,91.9
40,P5,Girl,1,79.4,8.3,1,endline,87.7
41,P5,Girl,1,77.3,5.5,1,endline,92.6
42,P5,Girl,0,91.4,3.8,1,endline,83.0
43,P6,Girl,0,86.7,11.1,1,endline,86.2
44,P6,Boy,0,81.3,6.1,1,endline,82.2
45,P6,Girl,1,92.8,6.0,1,endline,88.3
46,P6,Boy,0,85.6,6.0,1,endline,71.7
47,P6,Boy,0,90.9,6.4,1,endline,85.7
48,P5,Boy,1,85.3,5.7,1,endline,81.3
49,P6,Boy,0,95.3,4.9,1,endline,77.6
50,P6,Girl,1,93.8,4.9,1,endline,87.2
51,P5,Boy,0,83.8,5.9,1,endline,75.0
52,P6,Boy,0,89.9,4.9,1,endline,82.8
53,P5,Boy,1,88.2,4.6,1,endline,82.6
54,P6,Girl,0,91.8,6.2,1,endline,77.6
55,P5,Girl,0,80.2,5.5,1,endline,63.3
56,P6,Girl,1,88.4,9.0,1,endline,83.9
57,P6,Girl,1,90.3,0.7,1,endline,89.2
58,P5,Boy,0,76.2,8.2,1,endline,83.2
59,P5,Boy,1,79.1,8.5,1,endline,78.1
60,P5,Girl,0,74.8,1.9,1,endline,63.0
61,P5,Boy,0,83.7,5.3,1,endline,73.7
62,P5,Boy,1,88.6,5.3,1,endline,85.6
63,P5,Boy,1,92.5,3.2,1,endline,88.2
64,P5,Girl,1,85.4,4.4,1,endline,87.0
65,P5,Girl,1,93.1,3.8,1,endline,82.9
66,P6,Boy,1,78.1,9.5,1,endline,94.2
67,P6,Girl,1,76.5,7.9,1,endline,84.3
68,P5,Girl,0,84.7,8.5,1,endline,77.4
69,P6,Girl,1,86.9,7.4,1,endline,79.7
70,P6,Girl,0,84.8,3.7,1,endline,78.0
71,P6,Girl,0,74.7,5.0,1,endline,68.0
72,P6,Boy,0,84.6,7.0,1,endline,66.4
73,P5,Girl,0,78.5,3.6,1,endline,82.6
74,P6,Boy,1,88.3,7.4,1,endline,86.7
75,P5,Boy,1,86.8,5.5,1,endline,85.5
76,P6,Girl,1,80.3,5.3,1,endline,85.4
77,P6,Boy,0,82.4,7.4,1,endline,86.6
78,P6,Boy,0,79.7,6.9,1,endline,78.5
79,P5,Boy,0,84.7,5.3,1,endline,75.4
80,P6,Girl,0,89.8,8.3,1,endline,89.1
81,P5,Girl,1,80.1,3.8,1,endline,73.2
82,P6,Boy,1,87.5,7.2,1,endline,73.0
83,P5,Girl,1,82.3,7.2,1,endline,82.4
84,P6,Girl,0,81.0,5.4,1,endline,70.9
85,P5,Girl,1,84.5,6.7,1,endline,71.4
86,P5,Girl,1,79.8,3.5,1,endline,82.9
87,P6,Boy,1,82.2,7.8,1,endline,80.9
88,P5,Boy,1,79.0,5.6,1,endline,74.0
89,P6,Girl,0,94.8,5.0,1,endline,71.3
90,P6,Girl,0,85.2,8.1,1,endline,87.5
91,P6,Boy,0,81.5,4.6,1,endline,80.9
92,P6,Boy,1,86.1,3.2,1,endline,74.0
93,P6,Girl,0,84.4,2.9,1,endline,78.5
94,P6,Boy,0,83.9,7.2,1,endline,75.0
95,P6,Girl,0,88.1,3.4,1,endline,62.8
96,P6,Girl,0,88.8,9.5,1,endline,75.0
97,P6,Boy,1,82.3,1.8,1,endline,80.9
98,P6,Boy,1,82.1,9.4,1,endline,82.3
99,P6,Girl,0,83.6,6.4,1,endline,75.1
100,P5,Girl,0,73.5,5.8,1,endline,69.8
101,P5,Boy,0,77.4,4.9,1,endline,64.7
102,P6,Girl,0,91.8,6.8,1,endline,86.3
103,P6,Boy,0,93.2,5.9,1,endline,70.6
104,P6,Girl,0,83.8,8.2,1,endline,84.7
105,P6,Boy,0,87.9,6.2,1,endline,78.2
106,P6,Boy,1,86.6,6.3,1,endline,87.9
107,P6,Boy,1,100.4,5.3,1,endline,89.1
108,P6,Girl,0,90.6,5.9,1,endline,84.5
109,P6,Girl,0,84.4,6.6,1,endline,79.9
110,P5,Boy,1,80.2,2.6,1,endline,84.0
111,P6,Girl,1,77.0,3.3,1,endline,80.5
112,P5,Boy,1,86.0,7.5,1,endline,89.9
113,P6,Boy,1,81.2,6.3,1,endline,82.0
114,P6,Girl,0,77.9,5.6,1,endline,81.4
115,P5,Girl,0,81.8,6.0,1,endline,69.0
116,P6,Boy,1,79.6,6.7,1,endline,88.6
117,P5,Girl,0,93.4,4.9,1,endline,70.8
118,P6,Girl,1,89.4,4.4,1,endline,82.2
119,P6,Boy,1,85.0,6.4,1,endline,78.8
120,P5,Boy,1,92.4,4.0,1,endline,76.5
121,P6,Girl,0,85.4,6.8,1,endline,77.8
122,P5,Boy,1,80.7,2.6,1,endline,79.5
123,P6,Boy,0,92.6,8.1,1,endline,75.6
124,P5,Girl,1,87.7,6.9,1,endline,79.6
125,P5,Boy,1,79.8,6.5,1,endline,77.2
126,P6,Boy,0,84.0,8.0,1,endline,66.2
127,P6,Girl,1,80.6,9.3,1,endline,73.3
128,P5,Girl,1,78.1,8.0,1,endline,95.4
129,P6,Boy,0,89.6,2.3,1,endline,72.9
130,P6,Boy,0,94.5,3.4,1,endline,79.0
131,P6,Girl,0,78.0,4.8,1,endline,71.1
132,P5,Girl,0,87.8,6.1,1,endline,77.9
133,P5,Girl,0,81.7,7.0,1,endline,75.2
134,P5,Girl,1,82.6,4.5,1,endline,74.8
135,P5,Boy,0,82.0,6.4,1,endline,83.2
136,P5,Girl,0,80.7,4.5,1,endline,77.5
137,P5,Girl,1,85.2,4.8,1,endline,84.6
138,P5,Boy,0,80.8,3.2,1,endline,81.7
139,P5,Girl,1,86.4,4.2,1,endline,80.5
140,P5,Boy,0,84.7,3.3,1,endline,57.9
141,P6,Girl,0,83.8,4.0,1,endline,72.4
142,P5,Girl,1,80.5,8.1,1,endline,90.5
143,P6,Girl,1,82.1,4.1,1,endline,72.5
144,P6,Boy,1,88.8,11.3,1,endline,93.0
145,P6,Boy,1,87.5,7.0,1,endline,99.8
146,P5,Girl,1,80.1,6.4,1,endline,83.1
147,P5,Boy,0,85.5,4.3,1,endline,74.0
148,P5,Boy,0,88.8,7.4,1,endline,87.1
149,P5,Boy,1,76.7,4.8,1,endline,85.7
150,P6,Boy,1,87.7,6.2,1,endline,87.3
151,P5,Boy,1,81.7,11.1,1,endline,84.2
152,P5,Boy,0,87.9,5.8,1,endline,68.9
153,P5,Girl,0,81.2,8.3,1,endline,77.8
154,P5,Girl,1,76.0,4.6,1,endline,77.0
155,P5,Boy,0,76.9,5.9,1,endline,78.7
156,P6,Girl,1,85.2,9.5,1,endline,85.7
157,P5,Girl,1,86.3,4.7,1,endline,88.2
158,P6,Girl,0,80.5,9.6,1,endline,68.9
159,P5,Girl,1,88.2,7.4,1,endline,92.5
160,P6,Boy,1,76.7,4.9,1,endline,84.6
161,P5,Girl,0,84.7,7.3,1,endline,79.2
162,P5,Girl,1,78.9,7.9,1,endline,81.2
163,P6,Boy,1,81.7,7.2,1,endline,96.7
164,P6,Boy,1,85.2,2.9,1,endline,76.5
165,P6,Girl,0,80.7,4.5,1,endline,77.2
166,P5,Girl,1,83.1,5.5,1,endline,81.3
167,P6,Girl,0,90.0,5.9,1,endline,72.3
168,P5,Girl,0,82.1,7.2,1,endline,78.1
169,P5,Girl,1,89.2,6.4,1,endline,88.8
170,P6,Girl,0,79.4,3.3,1,endline,70.0
171,P6,Boy,0,87.6,6.8,1,endline,79.0
172,P5,Girl,1,92.2,7.2,1,endline,92.2
173,P5,Girl,1,72.6,7.1,1,endline,90.5
174,P6,Boy,1,81.0,8.2,1,endline,80.3
175,P6,Boy,1,87.9,7.7,1,endline,84.5
176,P6,Boy,0,84.0,6.9,1,endline,73.3
177,P5,Boy,0,86.9,5.9,1,endline,76.2
178,P5,Girl,0,82.0,2.7,1,endline,72.4
179,P5,Girl,1,85.4,6.9,1,endline,86.7
180,P5,Girl,1,84.2,6.4,1,endline,77.1
181,P5,Girl,1,90.8,6.5,1,endline,82.0
182,P5,Girl,1,86.3,3.4,1,endline,83.0
183,P6,Girl,0,86.7,3.8,1,endline,76.8
184,P5,Boy,0,82.9,8.1,1,endline,85.5
185,P5,Girl,0,82.6,5.9,1,endline,78.4
186,P5,Boy,1,82.8,7.4,1,endline,77.7
187,P6,Boy,0,87.0,6.1,1,endline,78.2
188,P5,Girl,1,82.9,6.1,1,endline,86.5
189,P5,Boy,0,86.4,7.9,1,endline,86.6
190,P6,Girl,0,95.4,5.0,1,endline,74.2
191,P5,Boy,0,89.4,6.2,1,endline,85.1
192,P5,Girl,1,83.4,5.1,1,endline,85.4
193,P5,Boy,1,91.0,5.1,1,endline,79.3
194,P5,Girl,0,83.0,5.4,1,endline,74.0
195,P5,Girl,0,74.8,6.4,1,endline,70.0
196,P6,Girl,1,80.0,5.0,1,endline,75.2
197,P6,Girl,0,75.6,8.5,1,endline,78.9
198,P6,Girl,1,83.2,4.2,1,endline,79.3
199,P5,Boy,1,85.1,5.6,1,endline,80.9
200,P5,Boy,0,93.4,5.1,1,endline,88.7
201,P5,Boy,0,86.6,8.9,1,endline,80.9
202,P6,Girl,1,83.9,6.4,1,endline,87.6
203,P5,Boy,0,89.1,8.1,1,endline,75.9
204,P5,Girl,0,73.9,3.0,1,endline,67.4
205,P6,Girl,1,86.2,6.5,1,endline,87.0
206,P5,Boy,1,88.9,7.8,1,endline,89.7
207,P6,Boy,1,77.6,6.2,1,endline,85.3
208,P6,Girl,1,90.7,8.1,1,endline,85.1
209,P6,Boy,0,86.7,5.0,1,endline,76.5
210,P5,Girl,0,82.9,8.8,1,endline,67.3
211,P5,Girl,1,88.2,10.6,1,endline,92.2
212,P5,Girl,1,96.4,5.3,1,endline,72.8
213,P5,Girl,0,85.9,5.1,1,endline,75.6
214,P5,Girl,1,86.2,8.9,1,endline,76.2
215,P5,Boy,0,82.7,9.2,1,endline,71.5
216,P5,Boy,0,80.8,5.0,1,endline,79.9
217,P6,Girl,0,89.2,5.2,1,endline,78.0
218,P5,Girl,0,80.7,5.4,1,endline,78.1
219,P6,Boy,0,85.4,3.3,1,endline,73.4
220,P5,Boy,0,82.6,4.2,1,endline,79.5
221,P5,Girl,0,87.4,4.0,1,endline,80.6
222,P5,Boy,1,86.7,4.5,1,endline,77.8
223,P6,Girl,1,90.2,5.9,1,endline,88.8
224,P6,Boy,1,82.4,6.5,1,endline,75.0
225,P6,Girl,1,83.7,9.1,1,endline,73.0
226,P6,Boy,0,80.1,4.0,1,endline,69.9
227,P5,Girl,0,82.8,8.0,1,endline,82.0
228,P6,Boy,1,86.9,5.6,1,endline,86.4
229,P5,Boy,0,88.8,5.9,1,endline,75.0
230,P5,Girl,1,80.4,7.3,1,endline,83.3
231,P6,Boy,0,89.3,3.8,1,endline,73.0
232,P6,Girl,1,91.8,6.8,1,endline,97.1
233,P6,Boy,0,87.1,6.3,1,endline,78.6
234,P6,Girl,1,94.4,7.0,1,endline,79.7
235,P6,Boy,1,81.1,6.6,1,endline,83.9
236,P6,Girl,1,78.8,10.9,1,endline,86.1
237,P6,Boy,0,76.1,4.7,1,endline,66.8
238,P6,Girl,1,92.5,4.9,1,endline,84.8
239,P5,Boy,1,88.3,4.8,1,endline,88.3
240,P6,Girl,1,84.7,4.9,1,endline,86.5
